category_id/id;id;code;name
26;2600;2600;Regroupement des cadres du Ministère de l'artisanat et des affaires sociales
27;2700;2700;Regroupement des cadres du Ministère de l'énérgie et des mines
28;2800;2800;Regroupement des cadres du ministère du commerce et de l'industrie
29;2901;2901;Personnel de la recherche Archéologique et Antropologique
29;2902;2902;Personnel des monuments et sites
29;2903;2903;Personnel d'inspection et d'enseignement Artistique
29;2904;2904;Personnel des Musées
29;2905;2905;Personnel de Bibliothèque et Archives
29;2906;2906;Gardiennage des monuments historiques, des sites, des musées, et des bibliotheques
31;3100;3100;Regroupement des cadres du Ministère de l'emploi
34;3400;3400;Regroupement des cadres de l'administration de la défense nationale
34;3401;3401;Médecins, pharmaciens, chirurgiens dentistes et vétérinaires militaires
35;3500;3500;Regroupement de cadres
39;3900;3900;Regroupement des Cadres
42;4200;4200;Regroupement de cadres
45;4500;4500;Regroupement de Cadres
51;5101;5101;Corps de la surveillance et de sécurité
96;9600;9600;Chargé d'études
97;9700;9700;Regroupement de Fonctions supérieures
98;9800;9800;Regroupement des cadres communs aux administrations publiques
98;9801;9801;Agents publics
98;9802;9802;Personnel des ateliers d'impression
99;9901;9901;Ingénieurs et architectes
99;9902;9902;Informaticiens
99;9903;9903;Informatistes
99;9904;9904;Techniciens
99;9905;9905;Regroupement de cadres des enseignants chercheurs de la formation professionnelle et de la formation des cadres
99;9906;9906;Les membres de Cabinets ministériels
99;9907;9907;Civilistes et agents à contrat
99;9908;9908;Agents permanents
99;9909;9909;Regroupement des cadres de formation, d'encadrement, d'orientation, de planification et d'inspection des établissements de formation professionnelle
99;9910;9910;Enseignants Chercheurs des Etablissements de Formation des Cadres Superieurs
99;9911;9911;Medecins, pharmaciens et chirurgiens dentistes
99;9912;9912;Medecins veterinaires
99;9913;9913;Administrateurs 
99;9914;9914;Rédacteurs 
99;9915;9915;Adjoints techniques 
99;9916;9916;Adjoints administratifs 
99;9917;9917;Ingénieurs et architectes 
