id,ref,name
residence_234,234,"PANTOISE"
residence_235,235,"SEBTA"
residence_236,236,"BAB SEBTA"
residence_237,237,"BERRIA"
residence_238,238,"BAHRIA"
residence_239,239,"BOU AHMED"
residence_240,240,"ASSILAH"
residence_241,241,"DAR BNI KARRICH"
residence_242,242,"CASA-SIDI EL BERNOUSSI ZENATA"
residence_243,243,"ZEGHANGHANE"
residence_244,244,"ANJRA"
residence_245,245,"MARTIL"
residence_246,246,"MEKNES EL MENZEH"
residence_247,247,"ZOUARHA MOULAY YAACOUB"
residence_248,248,"TAGHRAMT"
residence_249,249,"TAMOROT"
residence_250,250,"OUJDA"
residence_251,251,"AHFIR"
residence_252,252,"AIN BNI MATHAR"
residence_253,253,"AIN SFA"
residence_254,254,"MESTFERKI"
residence_255,255,"SIDI YOUSSEF BEN ALI"
residence_256,256,"TANAQOUB"
residence_257,257,"PRETORIA"
residence_258,258,"HASSI BLAL"
residence_259,259,"BNI OUKIL"
residence_260,260,"MEKNES ISMAILIYA"
residence_261,261,"BERKANE"
residence_262,262,"BOUARFA"
residence_263,263,"OSLO"
residence_264,264,"AKLIM"
residence_265,265,"DEBDOU"
residence_266,266,"DUBLIN"
residence_267,267,"EL-AOUINATE"
residence_268,268,"EL-AIOUN"
residence_269,269,"FIGUIG"
residence_270,270,"VILLEMOUBLE (FRANCE)"
residence_271,271,"NAIMA"
residence_272,272,"ZOUJ  BERHAL"
residence_273,273,"MECHRA HAMMADI"
residence_274,274,"MARRAKECH-HAOUZ"
residence_275,275,"MERIJA"
residence_276,276,"MECHRA KLILA"
residence_277,277,"MESTIGMER"
residence_278,278,"AIN REGGADA"
residence_279,279,"SAIDIA"
residence_280,280,"ARHBAL  -SEBT-"
residence_281,281,"TAFORHALT"
residence_282,282,"FES-JDID DAR DBIBEGH"
residence_283,283,"GTETER"
residence_284,284,"TAOURIRT"
residence_285,285,"TENDRARA"
residence_286,286,"ZENAGA KSAR"
residence_287,287,"JERADA"
residence_288,288,"BOUKHOUALI"
residence_289,289,"MARRAKECH-MENARA"
residence_290,290,"GUENFOUDA"
residence_291,291,"ZELLIJA"
residence_292,292,"ANGADE"
residence_293,293,"BNI DRAR"
residence_294,294,"TOUISSIT"
residence_295,295,"IDAOUTANANE"
residence_296,296,"SIDI MOUSSA"
residence_297,297,"MADARH"
residence_298,298,"OUAD EL-HEIMER"
residence_299,299,"OUAD ISLY"
residence_300,300,"MARRAKECH"
residence_301,301,"SAADA"
residence_302,302,"OULAD DLIM"
residence_303,303,"AGDZ"
residence_304,304,"OULAD AHSOUN"
residence_305,305,"ABADOU"
residence_306,306,"AIN BEIDA MOULOUYA"
residence_307,307,"MAYATE"
residence_308,308,"NAGGA"
residence_309,309,"MZOUDA -SEBT-"
residence_310,310,"FRAITA"
residence_311,311,"RHIATE -TNINE-"
residence_312,312,"OULAD YAACOUB"
residence_313,313,"BOUCHANE"
residence_314,314,"RHMATE"
residence_315,315,"AIT OURIR"
residence_316,316,"LALLA AAZIZA"
residence_317,317,"AMIZMIZ"
residence_318,318,"ASKAOUEN"
residence_319,319,"ASNI"
residence_320,320,"LOUNASDA"
residence_321,321,"AMERZGANE"
residence_322,322,"OULAD ABBOU"
residence_323,323,"IDA-OU-ZEMZEM"
residence_324,324,"SMIMOU"
residence_325,325,"GAZETT -ARBA-"
residence_326,326,"BEN GUERIR"
residence_327,327,"LABRIKIYINE"
residence_328,328,"AIT DAOUD"
residence_329,329,"IDA-OU- GOUD"
residence_330,330,"BOUMALNE-DADES"
residence_331,331,"SIDI BOU OTHMANE"
residence_332,332,"SIDI EL HATTAB"
residence_333,333,"ECHEMMAIA"
residence_334,334,"CHICHAOUA"
residence_335,335,"TASSAOUT"
residence_336,336,"LAATTAOUI ECH-CHAIBIA"
residence_337,337,"EDDACHRA"
residence_338,338,"DEMNATE"
residence_339,339,"HOUARA OULAD RAHO"
residence_340,340,"FOUM JEMAA"
residence_341,341,"KELAAT M'GOUNA"
residence_342,342,"KELAA ES-SRARHNA"
residence_343,343,"SETTI FATMA"
residence_344,344,"AYIR"
